Pressure, Temperature, X_ch4,X_CO2, ch4_uptake, co2_uptake,ch4_diff,co2_diff
3000000.09,300,0.308,0.692,7.58124,142.07118,5.07E-09,6.20E-09
3000000.09,300,0.212,0.788,4.70818,147.52448,6.59E-09,6.37E-09
3000000.09,300,0.116,0.884,2.30378,152.23222,4.20E-10,5.05E-09
3000000.09,300,0.02,0.98,0.3693,155.98618,8.07E-09,6.13E-09
3000000.09,320,0.98,0.02,63.4141,6.37138,1.56E-08,1.82E-08
3000000.09,320,0.884,0.116,51.29702,33.89396,1.19E-08,1.11E-08
3000000.09,320,0.788,0.212,40.6906,56.97416,1.31E-08,1.27E-08
3000000.09,320,0.692,0.308,31.4314,76.45802,1.15E-08,8.53E-09
3000000.09,320,0.596,0.404,23.8687,92.43422,8.49E-09,8.41E-09
3000000.09,320,0.5,0.5,17.89722,104.78798,9.79E-09,7.65E-09
3000000.09,320,0.404,0.596,12.96732,114.93078,8.91E-09,8.14E-09
3000000.09,320,0.308,0.692,8.95706,122.98864,1.13E-08,8.81E-09
3000000.09,320,0.212,0.788,5.54596,130.2528,3.00E-09,8.93E-09
3000000.09,320,0.116,0.884,2.83416,135.26824,2.44E-09,7.64E-09
3000000.09,320,0.02,0.98,0.45088,140.6186,3.31E-09,7.79E-09
3000000.09,340,0.98,0.02,53.68516,4.3372,2.21E-08,1.41E-08
3000000.09,340,0.884,0.116,45.17022,23.83856,1.22E-08,1.40E-08
3000000.09,340,0.788,0.212,37.48388,41.32862,1.87E-08,1.40E-08
3000000.09,340,0.692,0.308,30.28916,57.31014,1.59E-08,1.30E-08
3000000.09,340,0.596,0.404,24.11282,70.72198,1.29E-08,1.16E-08
3000000.09,340,0.5,0.5,18.73312,83.07446,1.18E-08,1.04E-08
3000000.09,340,0.404,0.596,13.96802,93.39268,8.75E-09,1.08E-08
3000000.09,340,0.308,0.692,9.83836,102.79584,8.83E-09,1.13E-08
3000000.09,340,0.212,0.788,6.28942,110.26432,1.04E-08,9.22E-09
3000000.09,340,0.116,0.884,3.15916,117.38346,1.92E-08,9.38E-09
3000000.09,340,0.02,0.98,0.50912,123.36196,9.82E-09,9.67E-09
3000000.09,360,0.98,0.02,45.35472,3.06864,2.14E-08,1.03E-08
3000000.09,360,0.884,0.116,38.97408,16.99242,2.06E-08,1.34E-08
3000000.09,360,0.788,0.212,33.25066,30.28782,2.38E-08,1.58E-08
3000000.09,360,0.692,0.308,27.74944,42.78218,1.31E-08,1.16E-08
3000000.09,360,0.596,0.404,22.63904,54.12556,1.09E-08,1.31E-08
3000000.09,360,0.5,0.5,18.00396,64.60508,1.29E-08,1.42E-08
3000000.09,360,0.404,0.596,13.7426,74.22502,1.53E-08,1.15E-08
3000000.09,360,0.308,0.692,9.95446,82.77784,4.00E-09,1.14E-08
3000000.09,360,0.212,0.788,6.4801,90.79728,1.97E-08,8.78E-09
3000000.09,360,0.116,0.884,3.35764,97.8609,8.45E-09,9.03E-09
3000000.09,360,0.02,0.98,0.5472,104.41716,1.30E-08,1.08E-08
3000000.09,380,0.98,0.02,38.71462,2.25346,2.52E-08,6.20E-09
